model,config,size,prompt_set,policy,backend,trial_index,runtime_s,error,throughput_tok_s,compute_used_gb,compute_total_gb,dest_used_gb,dest_total_gb,gpu_mem_util,offload_kv_capacity_gb,max_seq,avg_input_length,max_tokens,num_gpu_blocks,dest_gpu_id,gpu_mem_util,blocks_offloaded,blocks_reloaded,blocks_allocated,blocks_evicted,blocks_freed
facebook/opt-125m,opt-125m_xsmall_uniq_lru,xsmall,unique,lru,gpu,1,81.73420764100001,,75011.43250729368,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,50,131,6000,151668,1,0.032,70647,12,0,0,0
facebook/opt-125m,opt-125m_xsmall_uniq_lru,xsmall,unique,lru,cpu,1,87.75599484200006,,69864.17293813983,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,50,131,6000,151668,1,0.032,71947,12,0,0,0
facebook/opt-125m,opt-125m_xsmall_uniq_arc,xsmall,unique,arc,gpu,1,82.47080846900008,,74341.45625363402,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,50,131,6000,151668,1,0.032,68626,3,0,0,0
facebook/opt-125m,opt-125m_xsmall_uniq_arc,xsmall,unique,arc,cpu,1,80.80284644499989,,75876.03988893128,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,50,131,6000,151668,1,0.032,67207,3,0,0,0
facebook/opt-125m,opt-125m_small_uniq_lru,small,unique,lru,gpu,1,80.67145716499999,,75999.61889197146,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,100,131,6000,151668,1,0.032,67983,7,0,0,0
facebook/opt-125m,opt-125m_small_uniq_lru,small,unique,lru,cpu,1,79.75982106200013,,76868.27676348668,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,100,131,6000,151668,1,0.032,67010,6,0,0,0
facebook/opt-125m,opt-125m_small_uniq_arc,small,unique,arc,gpu,1,80.38842868699999,,76267.19541778373,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,100,131,6000,151668,1,0.032,68043,6,0,0,0
facebook/opt-125m,opt-125m_small_uniq_arc,small,unique,arc,cpu,1,83.46580668700017,,73455.22967257089,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,100,131,6000,151668,1,0.032,68900,6,0,0,0
facebook/opt-125m,opt-125m_medium_uniq_lru,medium,unique,lru,gpu,1,83.13362611999992,,73748.73785909636,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,200,131,6000,151668,1,0.032,69498,7,0,0,0
facebook/opt-125m,opt-125m_medium_uniq_lru,medium,unique,lru,cpu,1,84.05727996099995,,72938.35825813779,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,200,131,6000,151668,1,0.032,69653,10,0,0,0
facebook/opt-125m,opt-125m_medium_uniq_arc,medium,unique,arc,gpu,1,81.18560728000011,,75518.31174773214,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,200,131,6000,151668,1,0.032,67983,7,0,0,0
facebook/opt-125m,opt-125m_medium_uniq_arc,medium,unique,arc,cpu,1,83.2157870330002,,73675.92398746022,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,200,131,6000,151668,1,0.032,68918,7,0,0,0
facebook/opt-125m,opt-125m_large_uniq_lru,large,unique,lru,gpu,1,83.45944069300003,,73460.83258037246,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,300,131,6000,151668,1,0.032,69498,7,0,0,0
facebook/opt-125m,opt-125m_large_uniq_lru,large,unique,lru,cpu,1,82.20653422899977,,74580.44615919575,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,300,131,6000,151668,1,0.032,68848,12,0,0,0
facebook/opt-125m,opt-125m_large_uniq_arc,large,unique,arc,gpu,1,83.65802058200006,,73286.45785959646,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,300,131,6000,151668,1,0.032,69498,7,0,0,0
facebook/opt-125m,opt-125m_large_uniq_arc,large,unique,arc,cpu,1,85.90295324899989,,71371.23658867198,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,300,131,6000,151668,1,0.032,69106,9,0,0,0
